"","COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM","pasted","especial"
"189","Aranjuez","2014-07-09T00:00:00.000Z",2014,7,9,"MIÉRCOLES",4,3,"9/7/2014",0
"190","Aranjuez","2014-07-10T00:00:00.000Z",2014,7,10,"JUEVES   ",11,4,"10/7/2014",0
"191","Aranjuez","2014-07-11T00:00:00.000Z",2014,7,11,"VIERNES  ",6,5,"11/7/2014",0
"192","Aranjuez","2014-07-12T00:00:00.000Z",2014,7,12,"SÁBADO   ",4,6,"12/7/2014",0
"193","Aranjuez","2014-07-13T00:00:00.000Z",2014,7,13,"DOMINGO  ",5,7,"13/7/2014",0
"194","Aranjuez","2014-07-14T00:00:00.000Z",2014,7,14,"LUNES    ",6,1,"14/7/2014",0
"195","Aranjuez","2014-07-15T00:00:00.000Z",2014,7,15,"MARTES   ",9,2,"15/7/2014",0
"196","Aranjuez","2014-07-16T00:00:00.000Z",2014,7,16,"MIÉRCOLES",6,3,"16/7/2014",0
"197","Aranjuez","2014-07-17T00:00:00.000Z",2014,7,17,"JUEVES   ",5,4,"17/7/2014",0
"198","Aranjuez","2014-07-18T00:00:00.000Z",2014,7,18,"VIERNES  ",7,5,"18/7/2014",0
"199","Aranjuez","2014-07-19T00:00:00.000Z",2014,7,19,"SÁBADO   ",11,6,"19/7/2014",0
"200","Aranjuez","2014-07-20T00:00:00.000Z",2014,7,20,"DOMINGO  ",6,7,"20/7/2014",1
"201","Aranjuez","2014-07-21T00:00:00.000Z",2014,7,21,"LUNES    ",8,1,"21/7/2014",0
"202","Aranjuez","2014-07-22T00:00:00.000Z",2014,7,22,"MARTES   ",5,2,"22/7/2014",0
"203","Aranjuez","2014-07-23T00:00:00.000Z",2014,7,23,"MIÉRCOLES",8,3,"23/7/2014",0
"204","Aranjuez","2014-07-24T00:00:00.000Z",2014,7,24,"JUEVES   ",7,4,"24/7/2014",0
"205","Aranjuez","2014-07-25T00:00:00.000Z",2014,7,25,"VIERNES  ",3,5,"25/7/2014",0
"206","Aranjuez","2014-07-26T00:00:00.000Z",2014,7,26,"SÁBADO   ",9,6,"26/7/2014",0
"207","Aranjuez","2014-07-27T00:00:00.000Z",2014,7,27,"DOMINGO  ",5,7,"27/7/2014",0
"208","Aranjuez","2014-07-28T00:00:00.000Z",2014,7,28,"LUNES    ",8,1,"28/7/2014",0
"209","Aranjuez","2014-07-29T00:00:00.000Z",2014,7,29,"MARTES   ",6,2,"29/7/2014",0
"210","Aranjuez","2014-07-30T00:00:00.000Z",2014,7,30,"MIÉRCOLES",8,3,"30/7/2014",0
"211","Aranjuez","2014-07-31T00:00:00.000Z",2014,7,31,"JUEVES   ",6,4,"31/7/2014",0
"212","Aranjuez","2014-08-01T00:00:00.000Z",2014,8,1,"VIERNES  ",5,5,"1/8/2014",0
"213","Aranjuez","2014-08-02T00:00:00.000Z",2014,8,2,"SÁBADO   ",5,6,"2/8/2014",0
"214","Aranjuez","2014-08-03T00:00:00.000Z",2014,8,3,"DOMINGO  ",6,7,"3/8/2014",0
"215","Aranjuez","2014-08-04T00:00:00.000Z",2014,8,4,"LUNES    ",11,1,"4/8/2014",0
"216","Aranjuez","2014-08-05T00:00:00.000Z",2014,8,5,"MARTES   ",3,2,"5/8/2014",0
"217","Aranjuez","2014-08-06T00:00:00.000Z",2014,8,6,"MIÉRCOLES",10,3,"6/8/2014",0
"218","Aranjuez","2014-08-07T00:00:00.000Z",2014,8,7,"JUEVES   ",9,4,"7/8/2014",1
"219","Aranjuez","2014-08-08T00:00:00.000Z",2014,8,8,"VIERNES  ",11,5,"8/8/2014",0
"220","Aranjuez","2014-08-09T00:00:00.000Z",2014,8,9,"SÁBADO   ",17,6,"9/8/2014",0
"221","Aranjuez","2014-08-10T00:00:00.000Z",2014,8,10,"DOMINGO  ",7,7,"10/8/2014",0
"222","Aranjuez","2014-08-11T00:00:00.000Z",2014,8,11,"LUNES    ",3,1,"11/8/2014",0
"223","Aranjuez","2014-08-12T00:00:00.000Z",2014,8,12,"MARTES   ",9,2,"12/8/2014",0
"224","Aranjuez","2014-08-13T00:00:00.000Z",2014,8,13,"MIÉRCOLES",14,3,"13/8/2014",0
"225","Aranjuez","2014-08-14T00:00:00.000Z",2014,8,14,"JUEVES   ",6,4,"14/8/2014",0
"226","Aranjuez","2014-08-15T00:00:00.000Z",2014,8,15,"VIERNES  ",8,5,"15/8/2014",0
"227","Aranjuez","2014-08-16T00:00:00.000Z",2014,8,16,"SÁBADO   ",7,6,"16/8/2014",0
"228","Aranjuez","2014-08-17T00:00:00.000Z",2014,8,17,"DOMINGO  ",6,7,"17/8/2014",0
"229","Aranjuez","2014-08-18T00:00:00.000Z",2014,8,18,"LUNES    ",2,1,"18/8/2014",1
"230","Aranjuez","2014-08-19T00:00:00.000Z",2014,8,19,"MARTES   ",6,2,"19/8/2014",0
"231","Aranjuez","2014-08-20T00:00:00.000Z",2014,8,20,"MIÉRCOLES",3,3,"20/8/2014",0
"232","Aranjuez","2014-08-21T00:00:00.000Z",2014,8,21,"JUEVES   ",8,4,"21/8/2014",0
"233","Aranjuez","2014-08-22T00:00:00.000Z",2014,8,22,"VIERNES  ",4,5,"22/8/2014",0
"234","Aranjuez","2014-08-23T00:00:00.000Z",2014,8,23,"SÁBADO   ",9,6,"23/8/2014",0
"235","Aranjuez","2014-08-24T00:00:00.000Z",2014,8,24,"DOMINGO  ",5,7,"24/8/2014",0
"236","Aranjuez","2014-08-25T00:00:00.000Z",2014,8,25,"LUNES    ",3,1,"25/8/2014",0
"237","Aranjuez","2014-08-26T00:00:00.000Z",2014,8,26,"MARTES   ",10,2,"26/8/2014",0
"238","Aranjuez","2014-08-27T00:00:00.000Z",2014,8,27,"MIÉRCOLES",4,3,"27/8/2014",0
